subject,repeat,scenario,method,accuracy,macro_f1
103,1,stable,concat_PCA,0.6398753894080997,0.4321836514307558
103,1,stable,ALS,0.6747663551401869,0.4587364374568866
103,1,stable,late_fusion,0.8623052959501558,0.5719012992800521
103,1,rotation,CWR,0.48286604361370716,0.415105073101968
103,1,rotation,CWR_frozen,0.3862928348909657,0.2869205232401673
103,1,rotation,plain_GCCA,0.3401869158878505,0.21131579021375965
103,1,rotation,concat_PCA,0.2834890965732087,0.15972852858340095
103,1,rotation,ALS,0.3059190031152648,0.17070462456700883
103,1,rotation,late_fusion,0.7925233644859813,0.517440649994785
103,1,axis_loss,CWR,0.6199376947040498,0.5255319449195539
103,1,axis_loss,CWR_frozen,0.6199376947040498,0.5255319449195539
103,1,axis_loss,plain_GCCA,0.5869158878504673,0.44189008109937666
103,1,axis_loss,concat_PCA,0.6772585669781932,0.5364122827735733
103,1,axis_loss,ALS,0.7003115264797508,0.5613097048436945
103,1,axis_loss,late_fusion,0.8417445482866044,0.5560370378746889
103,1,rotation_axis_loss,CWR,0.48785046728971965,0.4170192251860958
103,1,rotation_axis_loss,CWR_frozen,0.4722741433021807,0.35472818368492176
103,1,rotation_axis_loss,plain_GCCA,0.36573208722741435,0.23533521627183696
103,1,rotation_axis_loss,concat_PCA,0.32897196261682243,0.22309547119505851
103,1,rotation_axis_loss,ALS,0.3339563862928349,0.20605045047655615
103,1,rotation_axis_loss,late_fusion,0.7987538940809968,0.5171406421081861
103,2,stable,CWR,0.4853582554517134,0.42162278460137087
103,2,stable,CWR_frozen,0.4853582554517134,0.42162278460137087
103,2,stable,plain_GCCA,0.48473520249221186,0.3822823109234255
103,2,stable,concat_PCA,0.6822429906542056,0.5673836875562286
103,2,stable,ALS,0.7096573208722742,0.5938364166352831
103,2,stable,late_fusion,0.8610591900311526,0.5707628079019905
103,2,rotation,CWR,0.5034267912772585,0.38611260116542573
103,2,rotation,CWR_frozen,0.31588785046728973,0.2137844171208112
103,2,rotation,plain_GCCA,0.23738317757009345,0.12804850056223802
103,2,rotation,concat_PCA,0.36822429906542054,0.21353777054013962
103,2,rotation,ALS,0.38753894080996887,0.2224297728837155
103,2,rotation,late_fusion,0.832398753894081,0.5475346686182153
103,2,axis_loss,CWR,0.5034267912772585,0.38685337268549486
103,2,axis_loss,CWR_frozen,0.4280373831775701,0.37288924391545686
103,2,axis_loss,plain_GCCA,0.3115264797507788,0.22503005670728787
103,2,axis_loss,concat_PCA,0.4523364485981308,0.3282199924810155
103,2,axis_loss,ALS,0.46791277258566977,0.3368242886771581
103,2,axis_loss,late_fusion,0.7975077881619937,0.519793894203369
103,2,rotation_axis_loss,CWR,0.4984423676012461,0.38481038016585123
